"HID"	"X"	"Y"
41576	-9.45429	9.565701
41577	-9.2203	10.284696
41578	-8.981425	11.006895
41579	-8.737578	11.732121
41580	-8.488668	12.460194
41581	-8.234604	13.190927
41582	-7.975289	13.924127
41652	-10.540235	6.034015
41653	-10.144917	6.864305
41654	-9.745935	7.697623
41655	-9.525903	8.405894
41656	-9.301051	9.117922
41657	-9.071299	9.833543
41658	-8.836561	10.552588
41659	-8.596752	11.274878
41660	-8.351782	12.000232
41661	-8.10156	12.728459
41662	-7.845991	13.459363
41663	-7.584978	14.192742
41734	-10.158283	6.302473
41735	-9.763033	7.132241
41736	-9.363932	7.965086
41737	-9.143659	8.673224
41738	-8.918381	9.385188
41739	-8.688013	10.100806
41740	-8.45247	10.8199
41741	-8.211664	11.542284
41742	-7.965503	12.267765
41743	-7.713895	12.996147
41744	-7.456744	13.727222
41745	-7.193949	14.460779
41815	-10.168524	5.743735
41816	-9.776252	6.570377
41817	-9.381024	7.399611
41818	-8.981754	8.231971
41819	-8.761199	8.939973
41820	-8.535445	9.651871
41821	-8.304409	10.367484
41822	-8.068003	11.086627
41823	-7.826136	11.809105
41824	-7.578715	12.534716
41825	-7.325646	13.263253
41826	-7.066831	13.994499
41896	-9.786253	6.01166
41897	-9.394119	6.837721
41898	-8.998868	7.666409
41899	-8.599381	8.498273
41900	-8.378498	9.206134
41901	-8.152222	9.917962
41902	-7.920464	10.63357
41903	-7.683134	11.352763
41904	-7.44014	12.075336
41905	-7.191389	12.801079
41906	-6.936782	13.529772
41907	-6.67622	14.26119
41977	-9.793595	5.45576
41978	-9.403901	6.279032
41979	-9.011862	7.104498
41980	-8.616541	7.932627
41981	-8.216787	8.763986
41982	-7.995536	9.4717
41983	-7.768688	10.183456
41984	-7.536152	10.899059
41985	-7.297838	11.618302
41986	-7.053651	12.340973
41987	-6.803495	13.066848
41988	-6.547271	13.795699
41989	-6.284878	14.527288
42059	-9.410947	5.723206
42060	-9.021444	6.545846
42061	-8.629456	7.370703
42062	-8.23402	8.19826
42063	-7.833953	9.029102
42064	-7.612289	9.736664
42065	-7.384819	10.448347
42066	-7.151451	11.163944
42067	-6.91209	11.883239
42068	-6.666641	12.606008
42069	-6.415005	13.332019
42070	-6.157082	14.061029
42139	-9.415748	5.169941
42140	-9.028213	5.990101
42141	-8.63886	6.812094
42142	-8.246878	7.636329
42143	-7.851284	8.463301
42144	-7.450854	9.293615
42145	-7.228735	10.001021
42146	-7.000593	10.712627
42147	-6.766335	11.428218
42148	-6.525864	12.147567
42149	-6.279082	12.870437
42150	-6.025889	13.596585
42151	-5.766184	14.325755
42221	-9.032675	5.436956
42222	-8.645371	6.256441
42223	-8.256124	7.077772
42224	-7.864107	7.90137
42225	-7.468309	8.727744
42226	-7.067469	9.557518
42227	-6.84485	10.264762
42228	-6.615986	10.976291
42229	-6.380781	11.691876
42230	-6.139134	12.41128
42231	-5.890947	13.134254
42232	-5.636118	13.860541
42233	-5.374542	14.589873
42302	-9.035259	4.886135
42303	-8.649511	5.703425
42304	-8.262396	6.522219
42305	-7.873213	7.342873
42306	-7.481118	8.165819
42307	-7.085074	8.991581
42308	-6.683775	9.820805
42309	-6.460613	10.527882
42310	-6.230976	11.239331
42311	-5.994763	11.954911
42312	-5.751875	12.674372
42313	-5.502208	13.397453
42314	-5.24566	14.123882
42383	-8.651722	5.152765
42384	-8.266232	5.969342
