"HID"	"X"	"Y"
40357	-13.765493	9.829263
40437	-13.625463	9.375321
40518	-13.483482	8.922776
40519	-13.242608	9.651261
40599	-13.339355	8.471792
40679	-13.192873	8.022547
40842	-12.662229	7.848592
40922	-12.510526	7.402844
41085	-11.9743	7.231222
41247	-11.434677	7.060741
41328	-11.272667	6.622136
41329	-11.053171	7.330884
41409	-10.89113	6.891841
41490	-10.908402	6.326759
41572	-10.526699	6.595809
41652	-10.540235	6.034015
41734	-10.158283	6.302473
41815	-10.168524	5.743735
41896	-9.786253	6.01166
41977	-9.793595	5.45576
42059	-9.410947	5.723206
42139	-9.415748	5.169941
42221	-9.032675	5.436956
42302	-9.035259	4.886135
42383	-8.651722	5.152765
42464	-8.652382	4.60421
42546	-8.26835	4.870496
42626	-8.267349	4.324039
42708	-7.882798	4.590017
46613	5.169194	5.220488
46775	5.576935	4.957431
46856	5.584138	4.436539
46938	5.984448	4.694867
47018	5.991082	4.174214
47100	6.391693	4.432734
47262	6.798636	4.170976
47344	7.200102	4.429513
47426	7.602168	4.687901
47588	8.009224	4.426878
47993	8.825116	3.386003
47994	9.225278	4.164498
47995	9.626807	4.942064
48075	9.227872	3.645207
48157	9.631173	3.904336
54900	28.80411	-1.872032
54917	37.06027	10.91878
55061	28.816713	-2.945536
55142	28.822903	-3.483665
55400	35.543816	7.575234
55401	36.221324	8.196682
56286	34.615862	1.089405
56456	38.364008	6.090817
56538	39.565399	6.870188
57342	37.303309	-0.274653
70109	73.201393	17.672784
70110	73.143965	18.547704
70190	73.481121	17.225829
70191	73.425582	18.100263
70192	73.36846	18.975334
70193	73.309675	19.851132
70272	73.705745	17.652822
70349	74.136458	14.586344
70350	74.087102	15.45894
70351	74.036478	16.331916
70429	74.455749	13.268338
70430	74.409042	14.140274
70431	74.361223	15.01244
70432	74.312209	15.884957
70511	74.680518	13.694203
70512	74.634175	14.565937
70591	74.950933	13.248127
70592	74.906005	14.119429
70671	75.262991	11.931314
70672	75.220331	12.802045
70673	75.176761	13.672912
70753	75.488758	12.355954
70754	75.44649	13.226385
70833	75.75626	11.909851
70834	75.715237	12.779842
70912	76.10047	9.72461
70914	76.022881	11.46373
70994	76.326698	10.148508
71074	76.590663	9.702761
71076	76.516043	11.440058
71101	75.368125	33.569098
71156	76.817903	10.125199
71182	75.694602	33.097144
71263	76.013769	32.625481
71264	75.919388	33.541321
71343	76.326493	32.154092
71344	76.243856	33.067936
71425	76.561073	32.594857
71426	76.470447	33.510999
71506	76.871888	32.122069
71507	76.792869	33.036204
71587	77.108103	32.561732
71668	77.416982	32.087566
71749	77.720205	31.613684
71750	77.654851	32.526103
71829	78.018361	31.140055
71830	77.961766	32.050582
71910	78.311954	30.666646
71911	78.263064	31.575359
71992	78.559326	31.100407
72072	78.851052	30.625691
72073	78.805581	31.534574
72154	79.099931	31.058319
72208	80.121376	6.892485
72235	79.389774	30.582317
72236	79.347748	31.491327
72288	80.380758	6.439324
72315	79.675535	30.106537
72316	79.640169	31.013789
72317	79.59416	31.924734
72370	80.612231	6.847335
72397	79.928114	30.536522
72398	79.889557	31.445617
72478	80.212006	30.059493
72479	80.180031	30.966819
72559	80.466064	30.488307
72640	80.748076	30.010048
72641	80.719509	30.917406
72721	81.026432	29.532009
72722	81.003618	30.437669
72802	81.283739	29.958201
72803	81.258594	30.865552
72884	81.540767	30.38461
72965	81.818988	29.903952
72966	81.797277	30.811257
73126	82.364968	28.943357
73127	82.353816	29.847301
73207	82.633327	28.463355
73208	82.62657	29.36574
73288	82.89608	28.884412
73289	82.888215	29.788249
73369	83.162628	28.403285
73370	83.159089	29.305552
73451	83.426754	28.823103
73452	83.422177	29.726795
73531	83.691488	28.340869
73532	83.691167	29.242981
73613	83.956982	28.75943
73694	84.219902	28.276108
73695	84.222795	29.178028
73775	84.48676	28.693393
73856	84.747863	28.209002
73857	84.753968	29.110695
73937	85.006351	27.724823
73938	85.016079	28.624994
74018	85.275366	28.139552
74099	85.532072	27.654334
74100	85.544934	28.554233
74181	85.802404	28.067757
74261	86.057332	27.581519
74262	86.073317	28.481112
74343	86.328973	27.993619
74344	86.344673	28.89442
74424	86.582123	27.506378
74425	86.601222	28.405631
74505	86.855064	27.91714
74506	86.873946	28.817575
74586	87.10644	27.428913
74587	87.128642	28.327793
74668	87.380674	27.83832
74669	87.402725	28.738357
74748	87.630279	27.349125
74749	87.655571	28.247598
74829	87.881647	26.861637
74830	87.905795	27.757162
74911	88.153633	27.267014
74912	88.182001	28.16505
74991	88.406498	26.779346
74992	88.430421	27.673667
75073	88.679579	27.183634
75074	88.707926	28.080149
75154	88.930014	26.693945
75155	88.954547	27.587836
75234	89.178777	26.203112
75235	89.204161	27.09715
75316	89.452082	26.605329
75317	89.480216	27.500269
75397	89.698289	26.112233
75398	89.727265	27.00746
75399	89.758236	27.903301
75478	89.972581	26.513387
75479	90.004378	27.409504
75480	90.038957	28.306738
75559	90.216129	26.017897
75560	90.248771	26.914455
75561	90.283478	27.81146
75640	90.457859	25.520818
75641	90.491379	26.418002
75642	90.526914	27.315436
75643	90.56462	28.213327
75721	90.732154	25.919977
75722	90.76855	26.818022
75723	90.807065	27.716328
75802	90.97103	25.420193
75805	91.089281	28.117129
75880	91.102555	22.214265
75883	91.207924	24.918439
75884	91.246212	25.818343
75885	91.286462	26.718042
75887	91.37362	28.517837
75961	91.368545	22.609196
75964	91.482092	25.315687
75966	91.566583	27.116943
75967	91.612131	28.017546
76042	91.598162	22.09842
76045	91.715873	24.810856
76046	91.758139	25.712855
76048	91.848755	27.515752
76049	91.897538	28.4172
76123	91.824948	21.584043
76124	91.864818	22.492529
76127	91.990866	25.207152
76129	92.08343	27.01228
76130	92.133036	27.914468
76131	92.185148	28.816755
76132	92.227397	29.717634
76203	92.048594	21.065602
76204	92.090627	21.977452
76207	92.221359	24.699048
76208	92.267758	25.603367
76210	92.366575	27.410079
76213	92.512175	30.117303
76284	92.268726	20.542568
76285	92.313311	21.458386
76286	92.35795	22.370802
76289	92.497159	25.094429
76292	92.651849	27.80778
76293	92.708156	28.7116
76294	92.757364	29.613333
76366	92.532506	20.934817
76367	92.579646	21.851111
76368	92.626961	22.764087
76373	92.882172	27.300651
76374	92.939311	28.205381
76375	92.999115	29.110009
76376	93.043594	30.011408
76377	93.080904	30.916404
76446	92.747771	20.406154
76447	92.797879	21.327006
76448	92.847643	22.243773
76449	92.897708	23.157306
76455	93.229021	28.602876
76456	93.286709	29.50663
76457	93.329668	30.409374
76527	93.085186	20.060058
76528	93.012223	20.797917
76529	93.064888	21.719132
76530	93.117348	22.636369
76535	93.39538	27.18734
76536	93.456871	28.09397
76537	93.521038	29.000261
76538	93.574374	29.903098
76539	93.615386	30.807262
76608	93.417873	19.708356
76609	93.349526	20.451483
76610	93.278282	21.189611
76611	93.333576	22.111189
76612	93.388806	23.028894
76614	93.501454	24.855741
76617	93.682574	27.58309
76618	93.747592	28.490469
76619	93.815426	29.39753
76620	93.861932	30.299438
76689	93.68214	20.099554
76690	93.615465	20.842831
76691	93.545993	21.581233
76692	93.603989	22.503174
76693	93.662064	23.421342
76694	93.720829	24.336513
76695	93.780795	25.249332
76697	93.906019	27.07001
76698	93.971997	27.978732
76699	94.040643	28.886853
76700	94.104506	29.792378
76701	94.149189	30.695681
76768	94.126911	18.23313
76769	94.069903	18.99004
76770	94.010272	19.742596
76772	93.883045	21.234097
76776	93.998992	24.729416
76777	94.062147	25.64283
76779	94.194142	27.46483
76780	94.263709	28.37426
76781	94.336085	29.283116
76782	94.393527	30.187079
76848	94.493244	17.098542
76849	94.442685	17.8634
76850	94.389652	18.624281
76851	94.334122	19.381043
76857	94.21417	24.205992
76858	94.279133	25.122229
76860	94.413896	26.948519
76861	94.484515	27.859537
76862	94.55777	28.76967
76863	94.633982	29.679252
76864	94.682302	30.581664
76870	96.320597	35.727613
76929	94.75471	17.490082
76930	94.705485	18.254632
76939	94.561304	25.514944
76940	94.631098	26.429529
76941	94.702934	27.342444
76942	94.777197	28.254126
76943	94.854243	29.164953
76944	94.924446	30.072302
76945	94.970626	30.976162
76947	95.030393	32.796647
77020	94.774058	24.990275
77021	94.845558	25.907557
77022	94.918807	26.822717
77023	94.99424	27.736253
77024	95.072249	28.648591
77025	95.153191	29.560103
77026	95.214715	30.465216
77028	95.290739	32.280311
77032	96.880688	35.597879
77102	95.057048	25.382265
77103	95.131949	26.30006
77104	95.208746	27.215789
77105	95.287875	28.129937
77106	95.369732	29.042923
77107	95.454679	29.955112
77108	95.504593	30.858025
77110	95.572964	32.67656
77112	96.375762	34.333648
77183	95.342138	25.774144
77184	95.420531	26.692448
77185	95.500972	27.608739
77186	95.583899	28.523491
77187	95.66971	29.437116
77188	95.746421	30.346344
77190	95.830589	32.159475
77192	96.386904	33.870834
77265	95.629382	26.165908
77266	95.711362	27.084713
77267	95.795546	28.001557
77268	95.882373	28.916906
77269	95.972247	29.831162
77270	96.037828	30.737452
77271	96.082294	31.643461
77272	96.114704	32.553974
77273	96.394078	33.409104
77274	96.926646	34.205329
77346	95.83504	25.635809
77347	95.918835	26.557548
77348	96.004499	27.476848
77349	96.092527	28.394239
77350	96.183361	29.310175
77351	96.27741	30.225052
77352	96.328689	31.128468
77353	96.369632	32.036159
77354	96.39706	32.948571
77355	96.934974	33.742999
77356	97.467474	34.53728
77427	96.123141	26.026893
77428	96.210554	26.949057
77429	96.300001	27.868845
77430	96.391977	28.786774
77431	96.486928	29.703288
77432	96.570321	30.614446
77433	96.618781	31.519428
77434	96.655604	32.428896
77435	96.93947	33.281758
77436	97.476528	34.07446
77437	98.009822	34.866561
77498	96.731522	17.91797
77508	96.323986	25.492357
77509	96.413466	26.417844
77510	96.504595	27.340427
77511	96.597928	28.260696
77512	96.693959	29.179154
77513	96.79314	30.096238
77514	96.862747	31.003731
77515	96.907856	31.91037
77516	96.939914	32.821713
77517	97.482084	33.612632
77518	98.0192	34.403352
77579	97.030751	17.534111
77590	96.612951	25.882828
77591	96.706073	26.808654
77592	96.801018	27.731651
77593	96.898341	28.652393
77594	96.998538	29.571372
77595	97.102065	30.489015
77596	97.154471	31.392941
77597	97.195652	32.301332
77598	97.48394	33.151896
77599	98.025397	33.941048
77657	97.377643	15.586166
77659	97.327125	17.148101
77670	96.947787	25.531127
77671	96.904156	26.273156
77672	97.001018	27.199316
77673	97.099883	28.12272
77674	97.201304	29.043927
77675	97.305781	29.963417
77676	97.396029	30.876556
77677	97.445253	31.782113
77678	97.48188	32.692357
77679	98.028222	33.479741
77680	98.56986	34.266871
77738	97.666127	15.19439
77739	97.644074	15.97844
77752	97.238707	25.920983
77753	97.197657	26.663331
77754	97.298361	27.589821
77755	97.401251	28.513625
77756	97.506882	29.435288
77757	97.615753	30.355279
77758	97.689355	31.264003
77759	97.734838	32.171288
77760	98.027475	33.019526
77761	98.573243	33.805101
77811	98.070492	8.448296
77812	98.059416	9.247907
77813	98.047302	10.046169
77814	98.034142	10.842968
77815	98.019927	11.638193
77816	98.004647	12.431733
77819	97.952312	14.801164
77820	97.932662	15.58689
77834	97.531907	26.310677
77835	97.49351	27.053346
77836	97.598161	27.980161
77837	97.705186	28.904357
77838	97.815139	29.826467
77839	97.928526	30.746949
77840	97.981813	31.651395
77841	98.022948	32.560509
77842	98.573377	33.344331
77892	98.330379	8.846093
77893	98.319832	9.645051
77894	98.308336	10.442656
77895	98.295884	11.238799
77896	98.282467	12.033374
77897	98.268075	12.826274
77898	98.252699	13.617395
77899	98.236328	14.406634
77900	98.218951	15.193889
77901	98.200555	15.979059
77902	98.181128	16.762045
77913	97.894905	25.204144
77914	97.86181	25.953828
77915	97.827442	26.700202
77916	97.791776	27.443192
77917	97.900479	28.370325
77918	98.01175	29.294906
77919	98.126144	30.217453
77920	98.223426	31.132623
77921	98.273153	32.038772
77922	98.570068	32.884655
77923	99.120056	33.666627
77975	98.581084	10.041772
77976	98.57028	10.838728
77977	98.558608	11.634224
77978	98.54606	12.428159
77979	98.532627	13.22043
77980	98.518301	14.010938
77995	98.187536	25.593084
77996	98.157037	26.342932
77997	98.12537	27.089548
77998	98.092512	27.83286
77999	98.205379	28.760305
78000	98.321011	29.685262
78001	98.439966	30.608236
78002	98.517528	31.518223
78003	98.563107	32.426175
78004	99.117542	33.206411
78058	98.83318	11.234385
78059	98.82236	12.029243
78076	98.509254	25.228727
78077	98.482466	25.981832
78078	98.454639	26.731848
78079	98.425752	27.478707
78080	98.395781	28.222341
78081	98.512924	29.150091
78082	98.633036	30.075415
78083	98.756676	30.998805
78084	98.810589	31.903789
78085	99.111707	32.74729
78158	98.779751	26.370379
78159	98.754674	27.120566
78160	98.728646	27.86767
78161	98.701646	28.611625
78162	98.823181	29.539672
78163	98.947893	30.465353
78164	99.052389	31.382602
78165	99.10235	32.289364
78166	99.660706	33.065988
78240	99.079448	26.758716
78241	99.057202	27.509078
78242	99.034116	28.256427
78243	99.01017	29.000702
78244	99.136216	29.929037
78245	99.265654	30.855065
78246	99.347137	31.766346
78247	99.652385	32.607438
78323	99.362284	27.897372
78324	99.342224	28.644967
78325	99.321418	29.38956
78326	99.452098	30.318176
78327	99.58639	31.244538
78328	99.640668	32.150081
78403	99.686317	27.534726
78404	99.669982	28.28544
78405	99.653034	29.033281
78406	99.635459	29.778189
78407	99.770898	30.707075
78408	99.88279	31.62645
78409	100.192095	32.465107
78485	99.99361	27.92238
78486	99.98036	28.673271
78487	99.966614	29.421356
78488	99.95236	30.166578
78489	100.092688	31.095723
78490	100.178053	32.008334
78567	100.30356	28.309784
78568	100.293483	29.060854
78569	100.28303	29.809182
78570	100.272192	30.554713
78571	100.417541	31.484107
78648	100.616231	28.69693
78649	100.609419	29.448177
78650	100.602353	30.196746
78651	100.595026	30.942584
78652	100.714499	31.864129
78729	100.935017	28.329817
78730	100.931688	29.083805
78731	100.928234	29.835229
78732	100.924652	30.584035
78733	100.920937	31.330175
78734	101.25	31.717474
78735	100.730828	32.320303
78736	100.202862	32.92307
78737	99.665827	33.525633
78738	99.119442	34.127844
78739	98.563414	34.72955
78815	101.25	32.19568
78816	100.72734	32.797689
78817	100.195735	33.399682
78818	99.654904	34.001513
78819	99.104557	34.603033
78820	98.544395	35.204084
78821	97.974111	35.804505
78896	101.785501	31.864129
78897	101.25	32.673221
78898	100.723793	33.274423
78899	100.188485	33.875657
78900	99.643789	34.476774
78901	99.089409	35.077619
78902	98.525039	35.678032
78977	102.082459	31.484107
78978	101.769172	32.320303
78979	101.25	33.150108
78980	100.720184	33.750518
78981	100.181108	34.351008
78982	99.632478	34.951426
78983	99.073992	35.551612
78984	98.505335	36.151404
78988	96.122374	38.543152
79058	102.321947	32.008334
79059	101.77266	32.797689
79060	101.25	33.626352
79061	100.716512	34.225985
79062	100.173601	34.825746
79063	99.620967	35.425479
79064	99.0583	36.025024
79067	97.306829	37.820821
79068	96.700708	38.417876
79139	102.61721	31.62645
79140	102.307905	32.465107
79141	101.776207	33.274423
79142	101.25	34.101964
79143	100.712775	34.700833
79144	100.165961	35.29988
79145	99.609251	35.898946
79148	97.8765	37.694572
79149	97.27691	38.292
79150	96.665723	38.888559
79220	102.91361	31.244538
79221	102.859332	32.150081
79222	102.297138	32.92307
79223	101.779816	33.750518
79224	101.25	34.576954
79225	100.708972	35.175074
79228	99.02606	36.970145
79229	98.444059	37.568176
79230	97.850971	38.165748
79232	96.630081	39.358753
79301	103.152863	31.766346
79302	102.847615	32.607438
79303	102.304265	33.399682
79304	101.783488	34.225985
79305	101.25	35.051333
79306	100.705102	35.648717
79308	99.58518	36.844157
79309	99.009499	37.441875
79310	98.422881	38.039354
79382	103.447611	31.382602
79383	103.39765	32.289364
79384	102.839294	33.065988
79385	102.311515	33.875657
79386	101.787225	34.700833
79387	101.25	35.525112
79389	100.142212	36.718768
79390	99.572816	37.315924
79391	98.992634	37.913066
79464	103.689411	31.903789
79465	103.388293	32.74729
79466	102.834173	33.525633
79467	102.318892	34.351008
79468	101.791028	35.175074
79470	100.697152	36.594254
79471	100.134007	37.190593
79473	98.975456	38.383727
79545	103.936893	32.426175
79546	103.382458	33.206411
79547	102.845096	34.001513
79548	102.326399	34.825746
79551	100.693068	37.066168
79627	103.929932	32.884655
79628	103.379944	33.666627
79629	102.856211	34.476774
79630	102.334039	35.29988
79709	103.926623	33.344331
79710	103.380558	34.127844
79711	102.867522	34.951426
79790	103.926757	33.805101
79791	103.395443	34.603033
79792	102.879033	35.425479
79793	102.34973	36.246381
79871	104.471778	33.479741
79872	103.93014	34.266871
79873	103.410591	35.077619
79953	104.474603	33.941048
79954	103.936586	34.72955
80034	104.4808	34.403352
80763	107.747524	33.775985
80840	108.395494	29.792378
80921	108.684574	29.39753
80924	108.57142	32.114919
81002	108.925626	29.903098
83760	118.011241	29.596686
83842	118.279851	30.083002
83922	118.544305	29.66294
84004	118.814849	30.148162
84085	119.077823	29.726795
84166	119.350296	30.210904
157543	101.25	28.716294
157544	101.25	29.470399
157545	101.25	30.221996
157546	101.25	30.971038
157623	101.564983	28.329817
157624	101.568312	29.083805
157625	101.571766	29.835229
157626	101.575348	30.584035
157627	101.579063	31.330175
157705	101.883769	28.69693
157706	101.890581	29.448177
157707	101.897647	30.196746
157708	101.904974	30.942584
157765	102.059028	12.013079
157787	102.206517	29.060854
157788	102.21697	29.809182
157789	102.227808	30.554713
157845	102.326359	11.618702
157867	102.51964	28.673271
157869	102.54764	30.166578
157870	102.407312	31.095723
157927	102.598443	12.019059
157948	102.830018	28.28544
157951	102.729102	30.707075
158008	102.864589	11.624443
158030	103.157776	28.644967
158088	103.129663	11.229407
158113	103.234346	30.855065
158169	103.393711	10.83395
158179	103.51788	18.714422
158250	103.656779	10.438072
158260	103.793317	18.324167
158265	103.893589	22.186879
158330	103.918916	10.041772
158345	104.176715	21.797941
158503	104.63309	17.930369
158909	106.070716	18.299463
158990	106.33818	17.908424
159067	106.497305	15.187509
159229	107.017978	14.40129
159230	107.053833	15.181955
159231	107.091749	15.959558
159311	107.352316	15.567142
159392	107.611619	15.17448
159400	108.015369	21.272581
159473	107.869701	14.781569
160054	109.953398	25.999498
160135	110.232242	25.603367
160217	110.463883	26.109938
160378	111.017908	25.315687
160621	111.802294	25.02196
161190	113.592705	25.800809
161271	113.842277	26.290653
161352	114.112766	25.887274
