Order	Genus	species	Taxon	Phyname	Family	V1	V2	HYP	AA	GO	SF	OT	BU	AL	OL	How scored	Notes	MASS	MASS_our	Mass_Phy	Mass_bm	Mass_Juha1	Mass_Juha2	Mass_Dam	Comments
Artiodactyla	Antilocapra	americana	Antilocapra americana	Antilocapra_americana_Centroid	Antilocapridae	Antilocapra	Antilocapridae	3	0	1	0	0	0	1	1	old scores		45.4	45.4	46.1	45.4	51	47.45001	46.5	
Artiodactyla	Capromeryx	minor	Capromeryx minor	Capromeryx_minor_Centroid	Antilocapridae	Capromeryx	Antilocapridae	3	0	1	0	0	0	1	1	pictures		10.5	NA	10.5	NA	NA	NA	NA	
Artiodactyla	Stockoceros	conklingi	Stockoceros conklingi	Stockoceros_conklingi_Centroid	Antilocapridae	Stockoceros	Antilocapridae	3	0	1	0	0	0	1	1	by family (only horns)		51	NA	51	NA	NA	NA	NA	
Artiodactyla	Tetrameryx	shuleri	Tetrameryx shuleri	Tetrameryx_shuleri_Centroid	Antilocapridae	Tetrameryx	Antilocapridae	3	0	1	0	0	0	1	1	by family		60	NA	60	NA	NA	NA	NA	
Artiodactyla	Addax	nasomaculatus	Addax nasomaculatus	Addax_nasomaculatus_Centroid	Bovidae	Addax	Bovidae	3	0	0	1	0	0	0	1	MUSEUMS sheet		90	90	70	111	121	96.07736	NA	
Artiodactyla	Aepyceros	melampus	Aepyceros melampus	Aepyceros_melampus_Centroid	Bovidae	Aepyceros	Bovidae	3	0	1	0	0	0	1	1	old scores		51	51	52.5	51	54	52.59169	52.4	
Artiodactyla	Alcelaphus	buselaphus	Alcelaphus buselaphus	Alcelaphus_buselaphus_Centroid	Bovidae	Alcelaphus	Bovidae	3	0	0	0	1	0	0	1	MUSEUMS sheet		150	150	171	150	150	160.93786	158	
Artiodactyla	Ammodorcas	clarkei	Ammodorcas clarkei	Ammodorcas_clarkei_Centroid	Bovidae	Ammodorcas	Bovidae	3	1	0	0	0	0	1	0	old scores		28	28	28	28	28.5	28.04981	31	
Artiodactyla	Ammotragus	lervia	Ammotragus lervia	Ammotragus_lervia_Centroid	Bovidae	Ammotragus	Bovidae	3	0	1	0	0	0	1	1	old scores		61	61	48	81.7	94.5	94.20222	NA	
Artiodactyla	Antidorcas	australis	Antidorcas australis	Antidorcas_australis_Centroid	Bovidae	Antidorcas	Bovidae	3	0	1	0	0	0	1	1	old scores		40	40	40	NA	NA	NA	NA	
Artiodactyla	Antidorcas	bondi	Antidorcas bondi	Antidorcas_bondi_Centroid	Bovidae	Antidorcas	Bovidae	3	0	1	0	0	0	1	1	old scores		34	34	34	NA	NA	NA	NA	
Artiodactyla	Antidorcas	marsupialis	Antidorcas marsupialis	Antidorcas_marsupialis_Centroid	Bovidae	Antidorcas	Bovidae	3	0	1	0	0	0	1	1	old scores		31	31	31.5	31	37.5	33.57124	31.8	
Artiodactyla	Antilope	cervicapra	Antilope cervicapra	Antilope_cervicapra_Centroid	Bovidae	Antilope	Bovidae	3	1	0	0	0	0	1	0	old scores		37.3	37.3	37.5	37.3	38.5	36.3011	29.8	
Artiodactyla	Arabitragus	jayakari	Arabitragus jayakari	Arabitragus_jayakari_Centroid	Bovidae	Arabitragus	Bovidae	3	0	1	0	0	0	1	1	old scores		23	23	23	NA	NA	NA	NA	
