Order	Genus	species	Taxon	Phyname	Family	V1	V2	HYP	AA	GO	SF	OT	BU	AL	OL	How scored	Notes	MASS	MASS_our	Mass_Phy	Mass_bm	Mass_Juha1	Mass_Juha2	Mass_Dam	Comments
Artiodactyla	Beatragus	hunteri	Beatragus hunteri	Beatragus_hunteri_Centroid	Bovidae	Beatragus	Bovidae	3	0	0	0	1	0	0	1			85	85	80	85	112.5	79.13217	NA	
Artiodactyla	Bison	bison	Bison bison	Bison_bison_Centroid	Bovidae	Bison	Bovidae	3	0	0	0	1	0	0	1	IZ Hel 2022 Oct		624	624	579.3	624	659	624.57707	551	
Artiodactyla	Bison	bonasus	Bison bonasus	Bison_bonasus_Centroid	Bovidae	Bison	Bovidae	3	0	0	0	1	0	0	1	IZ Hel 2022 Oct		570	570	500	570	625	675.8767	850	
Artiodactyla	Bootherium	bombifrons	Bootherium bombifrons	Bootherium_bombifrons_Centroid	Bovidae	Bootherium	Bovidae	3	0	1	0	0	0	1	1			300	300	300	NA	NA	NA	NA	
Artiodactyla	Bos	gaurus	Bos gaurus	Bos_gaurus_Centroid	Bovidae	Bos	Bovidae	3	0	0	1	1	0	0	1			882	882	825	882	NA	NA	568	
Artiodactyla	Bos	javanicus	Bos javanicus	Bos_javanicus_Centroid	Bovidae	Bos	Bovidae	3	0	0	1	1	0	0	1			600	600	700	600	650	635.97434	263	
Artiodactyla	Bos	mutus	Bos mutus	Bos_mutus_Centroid	Bovidae	Bos	Bovidae	3	0	0	1	1	0	0	1			550	550	546.2	NA	NA	NA	NA	
Artiodactyla	Bos	primigenius	Bos primigenius	Bos_primigenius_Centroid	Bovidae	Bos	Bovidae	3	0	0	1	1	0	0	1			900	900	900	NA	NA	NA	NA	
Artiodactyla	Bos	sauveli	Bos sauveli	Bos_sauveli_Centroid	Bovidae	Bos	Bovidae	3	0	0	1	1	0	0	1			800	800	800	800	795.5	791.32176	NA	
Artiodactyla	Boselaphus	tragocamelus	Boselaphus tragocamelus	Boselaphus_tragocamelus_Centroid	Bovidae	Boselaphus	Bovidae	2	0	0	1	1	0	0	1			195	195	169	195	207.5	182.25304	149	
Artiodactyla	Bubalus	arnee	Bubalus arnee	Bubalus_arnee_Centroid	Bovidae	Bubalus	Bovidae	3	0	0	1	0	0	0	1			725	725	725	NA	NA	NA	NA	
Artiodactyla	Bubalus	depressicornis	Bubalus depressicornis	Bubalus_depressicornis_Centroid	Bovidae	Bubalus	Bovidae	3	0	0	1	0	0	0	1			158	158	88	150	195	256.98927	NA	
Artiodactyla	Bubalus	grovesi	Bubalus grovesi	Bubalus_grovesi_Centroid	Bovidae	Bubalus	Bovidae	3	0	0	1	0	0	0	1			117	117	117	NA	NA	NA	NA	
Artiodactyla	Bubalus	mindorensis	Bubalus mindorensis	Bubalus_mindorensis_Centroid	Bovidae	Bubalus	Bovidae	3	0	0	1	0	0	0	1			233	233	224	233	240	254.38974	NA	
Artiodactyla	Bubalus	palaeokerabau	Bubalus palaeokerabau	Bubalus_palaeokerabau_Centroid	Bovidae	Bubalus	Bovidae	3	0	0	1	0	0	0	1			1130	1130	1125.9	NA	NA	NA	NA	
Artiodactyla	Bubalus	quarlesi	Bubalus quarlesi	Bubalus_quarlesi_Centroid	Bovidae	Bubalus	Bovidae	3	0	0	1	0	0	0	1			225	225	76	225	225	181.71886	NA	
Artiodactyla	Budorcas	taxicolor	Budorcas taxicolor	Budorcas_taxicolor_Centroid	Bovidae	Budorcas	Bovidae	3	0	1	0	0	0	1	1			250	250	302	250	275	294.51533	NA	
Artiodactyla	Capra	aegagrus	Capra aegagrus	Capra_aegagrus_Centroid	Bovidae	Capra	Bovidae	3	0	1	0	0	0	1	1			39	39	33.5	39.2	NA	NA	75	
Artiodactyla	Capra	caucasica	Capra caucasica	Capra_caucasica_Centroid	Bovidae	Capra	Bovidae	3	0	1	0	0	0	1	1			55	55	55	55	96.8	58.14952	NA	
Artiodactyla	Capra	cylindricornis	Capra cylindricornis	Capra_cylindricornis_Centroid	Bovidae	Capra	Bovidae	3	0	1	0	0	0	1	1			50	50	50	50	NA	NA	NA	
Artiodactyla	Capra	falconeri	Capra falconeri	Capra_falconeri_Centroid	Bovidae	Capra	Bovidae	3	0	1	0	0	0	1	1			41	41	41	41	71	54.30337	NA	
Artiodactyla	Capra	ibex	Capra ibex	Capra_ibex_Centroid	Bovidae	Capra	Bovidae	3	0	1	0	0	0	1	1			72	72	85.2	71.5	92.5	69.54683	NA	
Artiodactyla	Capra	nubiana	Capra nubiana	Capra_nubiana_Centroid	Bovidae	Capra	Bovidae	3	0	1	0	0	0	1	1			65	65	62.6	65	52	47.76372	NA	
Artiodactyla	Capra	pyrenaica	Capra pyrenaica	Capra_pyrenaica_Centroid	Bovidae	Capra	Bovidae	3	0	1	0	0	0	1	1			56	56	50	56.3	77.5	60.89877	NA	
Artiodactyla	Capra	sibirica	Capra sibirica	Capra_sibirica_Centroid	Bovidae	Capra	Bovidae	3	0	1	0	0	0	1	1			80	80	130	67.1	80	130	NA	
Artiodactyla	Capra	walie	Capra walie	Capra_walie_Centroid	Bovidae	Capra	Bovidae	3	0	1	0	0	0	1	1			101	101	100	101	102.5	100.14402	100	
Artiodactyla	Capricornis	crispus	Capricornis crispus	Capricornis_crispus_Centroid	Bovidae	Capricornis	Bovidae	3	0	1	0	0	0	1	1			37	37	37.2	37.2	82.5	43.03064	NA	
Artiodactyla	Capricornis	milneedwardsii	Capricornis milneedwardsii	Capricornis_milneedwardsii_Centroid	Bovidae	Capricornis	Bovidae	3	0	1	0	0	0	1	1			113	113	130	95	NA	NA	NA	
Artiodactyla	Capricornis	rubidus	Capricornis rubidus	Capricornis_rubidus_Centroid	Bovidae	Capricornis	Bovidae	3	0	1	0	0	0	1	1			95	95	87.5	95	NA	NA	NA	
Artiodactyla	Capricornis	sumatraensis	Capricornis sumatraensis	Capricornis_sumatraensis_Centroid	Bovidae	Capricornis	Bovidae	3	0	1	0	0	0	1	1			102	102	87.5	102	107.5	110.94222	NA	
Artiodactyla	Capricornis	swinhoei	Capricornis swinhoei	Capricornis_swinhoei_Centroid	Bovidae	Capricornis	Bovidae	2	0	1	0	0	0	1	1			21	21	21	37	85	NA	NA	
Artiodactyla	Capricornis	thar	Capricornis thar	Capricornis_thar_Centroid	Bovidae	Capricornis	Bovidae	3	0	1	0	0	0	1	1			95	95	112.5	95	NA	NA	NA	
Artiodactyla	CapriniGen	spA	CapriniGen spA	CapriniGen_spA_Centroid	Bovidae	CapriniGen	Bovidae	3	0	1	0	0	0	1	1	by tribe (goat)		63.3	NA	63.3	NA	NA	NA	NA	
Artiodactyla	Cephalophus	adersi	Cephalophus adersi	Cephalophus_adersi_Centroid	Bovidae	Cephalophus	Bovidae	2	0	0	1	0	0	0	1			9.6	9.6	9.2	9.6	9	9.24995	NA	
Artiodactyla	Cephalophus	callipygus	Cephalophus callipygus	Cephalophus_callipygus_Centroid	Bovidae	Cephalophus	Bovidae	2	0	0	1	0	0	0	1			18	18	18.2	18	18	19.07923	NA	
Artiodactyla	Cephalophus	dorsalis	Cephalophus dorsalis	Cephalophus_dorsalis_Centroid	Bovidae	Cephalophus	Bovidae	2	0	1	0	0	0	1	1			19.9	19.9	20	19.9	17.25	20	NA	
Artiodactyla	Cephalophus	harveyi	Cephalophus harveyi	Cephalophus_harveyi_Centroid	Bovidae	Cephalophus	Bovidae	2	0	0	1	0	0	0	1			15	15	14.5	15	NA	NA	NA	
Artiodactyla	Cephalophus	jentinki	Cephalophus jentinki	Cephalophus_jentinki_Centroid	Bovidae	Cephalophus	Bovidae	2	0	0	1	0	0	0	1			67.5	67.5	70	67.5	67.5	68.48954	NA	
Artiodactyla	Cephalophus	leucogaster	Cephalophus leucogaster	Cephalophus_leucogaster_Centroid	Bovidae	Cephalophus	Bovidae	2	0	0	1	0	0	0	1			16	16	12.7	16	15	13.20869	NA	
Artiodactyla	Cephalophus	natalensis	Cephalophus natalensis	Cephalophus_natalensis_Centroid	Bovidae	Cephalophus	Bovidae	2	0	1	0	0	0	1	1			13	13	12	13	13	12.72451	14	
Artiodactyla	Cephalophus	niger	Cephalophus niger	Cephalophus_niger_Centroid	Bovidae	Cephalophus	Bovidae	1	0	1	0	0	0	1	1			20	20	20.4	20	16.5	19.09432	NA	
Artiodactyla	Cephalophus	nigrifrons	Cephalophus nigrifrons	Cephalophus_nigrifrons_Centroid	Bovidae	Cephalophus	Bovidae	2	0	0	1	0	0	0	1			16	16	13.9	16	15.5	14.67633	NA	
Artiodactyla	Cephalophus	ogilbyi	Cephalophus ogilbyi	Cephalophus_ogilbyi_Centroid	Bovidae	Cephalophus	Bovidae	2	0	0	1	0	0	0	1			20	20	20	20	17	18.38642	NA	
Artiodactyla	Cephalophus	rufilatus	Cephalophus rufilatus	Cephalophus_rufilatus_Centroid	Bovidae	Cephalophus	Bovidae	2	0	0	1	0	0	0	1			10	10	12	10	13	12.11457	12.5	
Artiodactyla	Cephalophus	silvicultor	Cephalophus silvicultor	Cephalophus_silvicultor_Centroid	Bovidae	Cephalophus	Bovidae	2	0	0	1	0	0	0	1			62.5	62.5	72.5	62.5	61.5	62.0066	NA	
Artiodactyla	Cephalophus	spadix	Cephalophus spadix	Cephalophus_spadix_Centroid	Bovidae	Cephalophus	Bovidae	2	0	0	1	0	0	0	1			55	55	56	55	55	56.85702	NA	
Artiodactyla	Cephalophus	weynsi	Cephalophus weynsi	Cephalophus_weynsi_Centroid	Bovidae	Cephalophus	Bovidae	2	0	0	1	0	0	0	1			15	15	17	15	NA	NA	NA	
Artiodactyla	Cephalophus	zebra	Cephalophus zebra	Cephalophus_zebra_Centroid	Bovidae	Cephalophus	Bovidae	2	0	0	1	0	0	0	1			17.5	17.5	17.5	17.5	14.5	15.65475	NA	
Artiodactyla	Connochaetes	gnou	Connochaetes gnou	Connochaetes_gnou_Centroid	Bovidae	Connochaetes	Bovidae	3	0	0	0	1	0	0	1			145	145	180	145	205	156.54753	NA	
Artiodactyla	Connochaetes	taurinus	Connochaetes taurinus	Connochaetes_taurinus_Centroid	Bovidae	Connochaetes	Bovidae	3	0	0	0	1	0	0	1			180	180	180	180	194	198.61968	203	
Artiodactyla	Damaliscus	hypsodon	Damaliscus hypsodon	Damaliscus_hypsodon_Centroid	Bovidae	Damaliscus	Bovidae	3	0	0	0	1	0	0	1	by genus		63	NA	63	NA	NA	NA	NA	
Artiodactyla	Damaliscus	lunatus	Damaliscus lunatus	Damaliscus_lunatus_Centroid	Bovidae	Damaliscus	Bovidae	3	0	0	0	1	0	0	1			129	129	136	129	122.5	136.00033	122	
Artiodactyla	Damaliscus	niro	Damaliscus niro	Damaliscus_niro_Centroid	Bovidae	Damaliscus	Bovidae	3	0	0	0	1	0	0	1	by genus		150	NA	150	NA	NA	NA	NA	
Artiodactyla	Damaliscus	pygargus	Damaliscus pygargus	Damaliscus_pygargus_Centroid	Bovidae	Damaliscus	Bovidae	3	0	0	0	1	0	0	1			103	103	102	69	105	77.78455	70	
Artiodactyla	Dorcatragus	megalotis	Dorcatragus megalotis	Dorcatragus_megalotis_Centroid	Bovidae	Dorcatragus	Bovidae	3	0	1	0	0	0	1	1			9	9	10.2	9	10.25	10.91812	NA	
Artiodactyla	Euceratherium	collinum	Euceratherium collinum	Euceratherium_collinum_Centroid	Bovidae	Euceratherium	Bovidae	3	0	1	0	0	0	1	1	by pic (ovibovini)		600	600	450	NA	NA	NA	NA	
Artiodactyla	Eudorcas	albonotata	Eudorcas albonotata	Eudorcas_albonotata_Centroid	Bovidae	Eudorcas	Bovidae	3	0	1	0	0	0	1	1	by genus		25	NA	25	NA	NA	NA	NA	
Artiodactyla	Eudorcas	rufifrons	Eudorcas rufifrons	Eudorcas_rufifrons_Centroid	Bovidae	Eudorcas	Bovidae	3	0	1	0	0	0	1	1			23.9	23.9	27	23.9	25	26.99977	NA	
Artiodactyla	Eudorcas	rufina	Eudorcas rufina	Eudorcas_rufina_Centroid	Bovidae	Eudorcas	Bovidae	3	0	1	0	0	0	1	1			40	40	40	40	40	39.99999	NA	
Artiodactyla	Eudorcas	thomsonii	Eudorcas thomsonii	Eudorcas_thomsonii_Centroid	Bovidae	Eudorcas	Bovidae	3	0	1	0	0	0	1	1			20	20	20.5	20	24	22.90743	21	
Artiodactyla	Gazella	atlantica	Gazella atlantica	Gazella_atlantica_Centroid	Bovidae	Gazella	Bovidae	3	0	1	0	0	0	1	1	pictures		20	20	44.5	NA	NA	NA	NA	
Artiodactyla	Gazella	bennettii	Gazella bennettii	Gazella_bennettii_Centroid	Bovidae	Gazella	Bovidae	3	0	1	0	0	0	1	1			18.9	18.9	18.9	18.9	18.95	18.91667	NA	
Artiodactyla	Gazella	bilkis	Gazella bilkis	Gazella_bilkis_Centroid	Bovidae	Gazella	Bovidae	3	0	1	0	0	0	1	1	by relative G. Spekei		24	24	48.5	NA	NA	NA	NA	Gazella arabica
Artiodactyla	Gazella	cuvieri	Gazella cuvieri	Gazella_cuvieri_Centroid	Bovidae	Gazella	Bovidae	2	0	1	0	0	0	1	1			25	25	25	17.5	25	NA	NA	
Artiodactyla	Gazella	dorcas	Gazella dorcas	Gazella_dorcas_Centroid	Bovidae	Gazella	Bovidae	3	0	1	0	0	0	1	1			17	17	23	17	17.2	15.63595	NA	
Artiodactyla	Gazella	gazella	Gazella gazella	Gazella_gazella_Centroid	Bovidae	Gazella	Bovidae	2	0	1	0	0	0	1	1			20.8	20.8	22.7	20.8	22.75	21.30683	NA	
Artiodactyla	Gazella	leptoceros	Gazella leptoceros	Gazella_leptoceros_Centroid	Bovidae	Gazella	Bovidae	3	0	1	0	0	0	1	1			23.6	23.6	22.2	23.6	30	24.64575	NA	
Artiodactyla	Gazella	marica	Gazella marica	Gazella_marica_Centroid	Bovidae	Gazella	Bovidae	3	0	1	0	0	0	1	1	By relative G. Subgutturosa (another relative?) plus Schulz 2013 but not		18	18	20.2	NA	NA	NA	NA	
Artiodactyla	Gazella	saudiya	Gazella saudiya	Gazella_saudiya_Centroid	Bovidae	Gazella	Bovidae	3	0	1	0	0	0	1	1			16	16	16	16	15.9245	16	NA	
Artiodactyla	Gazella	spekei	Gazella spekei	Gazella_spekei_Centroid	Bovidae	Gazella	Bovidae	3	0	1	0	0	0	1	1			19	19	20	19	20	20	NA	
Artiodactyla	Gazella	subgutturosa	Gazella subgutturosa	Gazella_subgutturosa_Centroid	Bovidae	Gazella	Bovidae	3	0	1	0	0	0	1	1			25.3	25.3	28.5	25.3	31.25	26.98137	NA	
Artiodactyla	Gazella	tingitana	Gazella tingitana	Gazella_tingitana_Centroid	Bovidae	Gazella	Bovidae	3	0	1	0	0	0	1	1	by genus max		24.9	NA	24.9	NA	NA	NA	NA	
Artiodactyla	Hemitragus	cedrensis	Hemitragus cedrensis	Hemitragus_cedrensis_Centroid	Bovidae	Hemitragus	Bovidae	3	0	1	0	0	0	1	1	by genus		64.6	NA	64.6	NA	NA	NA	NA	
Artiodactyla	Hemitragus	jemlahicus	Hemitragus jemlahicus	Hemitragus_jemlahicus_Centroid	Bovidae	Hemitragus	Bovidae	3	0	1	0	0	0	1	1			54.5	54.5	35.2	79.7	67.6	68.61643	NA	
Artiodactyla	Hippotragus	equinus		Hippotragus_equinus_Centroid	Bovidae	Hippotragus	Bovidae	3	0	0	1	0	0	0	1			251	251	270	26.5	220.5	264.17396	225	
Artiodactyla	Hippotragus	leucophaeus	Hippotragus leucophaeus	Hippotragus_leucophaeus_Centroid	Bovidae	Hippotragus	Bovidae	3	0	0	1	0	0	0	1			150	150	150	150	150	149.99999	NA	
Artiodactyla	Hippotragus	niger	Hippotragus niger	Hippotragus_niger_Centroid	Bovidae	Hippotragus	Bovidae	3	0	0	1	0	0	0	1			195	195	227.5	22.6	240	236.4059	197	
Artiodactyla	Kobus	ellipsiprymnus	Kobus ellipsiprymnus	Kobus_ellipsiprymnus_Centroid	Bovidae	Kobus	Bovidae	3	0	0	1	0	0	0	1			175	175	210	175	200	204.39348	194	
Artiodactyla	Kobus	kob	Kobus kob	Kobus_kob_Centroid	Bovidae	Kobus	Bovidae	3	0	0	1	0	0	0	1			78.5	78.5	78.5	58.6	80.5	80.03521	83.4	
Artiodactyla	Kobus	leche	Kobus leche	Kobus_leche_Centroid	Bovidae	Kobus	Bovidae	3	0	0	1	0	0	0	1			87	87	110.7	87	115	88.64504	90.6	
Artiodactyla	Kobus	megaceros	Kobus megaceros	Kobus_megaceros_Centroid	Bovidae	Kobus	Bovidae	3	0	0	1	0	0	0	1			90	90	87.5	17.5	125	85.80593	NA	
Artiodactyla	Kobus	vardonii	Kobus vardonii	Kobus_vardonii_Centroid	Bovidae	Kobus	Bovidae	3	0	0	1	0	0	0	1			69.8	69.8	71.5	69.8	69.3	71.46272	69.3	
Artiodactyla	Litocranius	walleri	Litocranius walleri	Litocranius_walleri_Centroid	Bovidae	Litocranius	Bovidae	1	0	1	0	0	0	1	1			41.3	41.3	38	41.3	41.5	38.80437	42	
Artiodactyla	Madoqua	guentheri	Madoqua guentheri	Madoqua_guentheri_Centroid	Bovidae	Madoqua	Bovidae	2	0	1	0	0	0	1	1			4.1	4.1	7.5	4.1	5.293	4.6237	NA	
Artiodactyla	Madoqua	kirkii	Madoqua kirkii	Madoqua_kirkii_Centroid	Bovidae	Madoqua	Bovidae	3	0	1	0	0	0	1	1			4.9	4.9	5.3	4.9	4.9	4.8334	4.94	
Artiodactyla	Madoqua	piacentinii	Madoqua piacentinii	Madoqua_piacentinii_Centroid	Bovidae	Madoqua	Bovidae	2	0	1	0	0	0	1	1			2.5	2.5	2.5	2.5	2.5	2.5	NA	
Artiodactyla	Madoqua	saltiana	Madoqua saltiana	Madoqua_saltiana_Centroid	Bovidae	Madoqua	Bovidae	3	0	1	0	0	0	1	1			2.5	2.5	3.2	2.5	4	3.42447	NA	
Artiodactyla	Megalotragus	priscus	Megalotragus priscus	Megalotragus_priscus_Centroid	Bovidae	Megalotragus	Bovidae	3	0	0	0	1	0	0	1	by relative alcelaphines		200	NA	200	NA	NA	NA	NA	
Artiodactyla	Megalovis	guangxiensis	Megalovis guangxiensis	Megalovis_guangxiensis_Centroid	Bovidae	Megalovis	Bovidae	3	0	1	0	0	0	1	1	by relative ovibovini		76.2	NA	76.2	NA	NA	NA	NA	
Artiodactyla	Myotragus	balearicus	Myotragus balearicus	Myotragus_balearicus_Centroid	Bovidae	Myotragus	Bovidae	3	0	1	0	0	0	1	1	by relative caprini		26.4	NA	26.4	NA	NA	NA	NA	
Artiodactyla	Naemorhedus	baileyi	Naemorhedus baileyi	Naemorhedus_baileyi_Centroid	Bovidae	Naemorhedus	Bovidae	3	0	1	0	0	0	1	1			28.5	28.5	27.5	28.5	27.5	28.86345	NA	
Artiodactyla	Naemorhedus	caudatus	Naemorhedus caudatus	Naemorhedus_caudatus_Centroid	Bovidae	Naemorhedus	Bovidae	3	0	1	0	0	0	1	1			27	27	27	27	28.5	26.99999	NA	
Artiodactyla	Naemorhedus	goral	Naemorhedus goral	Naemorhedus_goral_Centroid	Bovidae	Naemorhedus	Bovidae	3	0	1	0	0	0	1	1			27.7	27.7	28.5	27.7	32	28.79651	NA	
Artiodactyla	Naemorhedus	griseus	Naemorhedus griseus	Naemorhedus_griseus_Centroid	Bovidae	Naemorhedus	Bovidae	3	0	1	0	0	0	1	1			28.5	28.5	25	28.5	NA	NA	NA	
Artiodactyla	Nanger	dama	Nanger dama	Nanger_dama_Centroid	Bovidae	Nanger	Bovidae	3	0	1	0	0	0	1	1			59.5	59.5	73	59.5	55	71.42481	NA	
Artiodactyla	Nanger	granti	Nanger granti	Nanger_granti_Centroid	Bovidae	Nanger	Bovidae	3	0	1	0	0	0	1	1			59.5	59.5	55	59.5	57.9	55.46446	58.8	
Artiodactyla	Nanger	soemmerringii	Nanger soemmerringii	Nanger_soemmerringii_Centroid	Bovidae	Nanger	Bovidae	3	0	1	0	0	0	1	1			39.5	39.5	40	39.5	41.75	41.58293	NA	
Artiodactyla	Neotragus	batesi	Neotragus batesi	Neotragus_batesi_Centroid	Bovidae	Neotragus	Bovidae	2	0	1	0	0	0	1	1			2.5	2.5	3	2.5	4.2	2.96745	NA	
Artiodactyla	Neotragus	pygmaeus	Neotragus pygmaeus	Neotragus_pygmaeus_Centroid	Bovidae	Neotragus	Bovidae	2	0	1	0	0	0	1	1			2.75	2.75	4	2.1	3.25	3.91368	NA	
Artiodactyla	Nesotragus	moschatus	Nesotragus moschatus	Nesotragus_moschatus_Centroid	Bovidae	Nesotragus	Bovidae	2	1	0	0	0	0	1	0	LUOMUS 2022		6.5	NA	6.5	NA	NA	NA	NA	
Artiodactyla	Nilgiritragus	hylocrius	Nilgiritragus hylocrius	Nilgiritragus_hylocrius_Centroid	Bovidae	Nilgiritragus	Bovidae	3	0	1	0	0	0	1	1	by relative tahr Hemitragus		75	NA	75	NA	NA	NA	NA	
Artiodactyla	Oreamnos	americanus	Oreamnos americanus	Oreamnos_americanus_Centroid	Bovidae	Oreamnos	Bovidae	3	0	1	0	0	0	1	1			78.5	78.5	72.5	78.5	86	72.1054	NA	
Artiodactyla	Oreamnos	harringtoni	Oreamnos harringtoni	Oreamnos_harringtoni_Centroid	Bovidae	Oreamnos	Bovidae	3	0	1	0	0	0	1	1	by genus		75	NA	75	NA	NA	NA	NA	
Artiodactyla	Oreotragus	oreotragus	Oreotragus oreotragus	Oreotragus_oreotragus_Centroid	Bovidae	Oreotragus	Bovidae	3	0	1	0	0	0	1	1			12.2	12.2	13	12.2	13	13.48655	14.3	
Artiodactyla	Oryx	beisa	Oryx beisa	Oryx_beisa_Centroid	Bovidae	Oryx	Bovidae	3	0	0	1	0	0	0	1			201	201	170	201	175.2885	200.57652	NA	
Artiodactyla	Oryx	dammah	Oryx dammah	Oryx_dammah_Centroid	Bovidae	Oryx	Bovidae	3	0	0	1	0	0	0	1			158	158	200	158	160	199.79895	NA	
Artiodactyla	Oryx	gazella	Oryx gazella	Oryx_gazella_Centroid	Bovidae	Oryx	Bovidae	3	0	0	1	0	0	0	1			172	172	169	172	178	188.40445	167	
Artiodactyla	Oryx	leucoryx	Oryx leucoryx	Oryx_leucoryx_Centroid	Bovidae	Oryx	Bovidae	3	0	0	1	0	0	0	1			83	83	87.7	83	137.5	75.78824	NA	
Artiodactyla	Ourebia	ourebi	Ourebia ourebi	Ourebia_ourebi_Centroid	Bovidae	Ourebia	Bovidae	3	0	0	1	0	0	0	1			17.5	17.5	17.2	17.5	14.75	17.18609	13.6	
Artiodactyla	Ovibos	moschatus	Ovibos moschatus	Ovibos_moschatus_Centroid	Bovidae	Ovibos	Bovidae	3	0	1	0	0	0	1	1			302	302	340.5	302	255	312.5	250	
Artiodactyla	Ovis	ammon	Ovis ammon	Ovis_ammon_Centroid	Bovidae	Ovis	Bovidae	3	0	1	0	0	0	1	1			123	123	180	92	112.5	113.99872	NA	
Artiodactyla	Ovis	canadensis	Ovis canadensis	Ovis_canadensis_Centroid	Bovidae	Ovis	Bovidae	3	0	0	0	1	0	0	1			65	65	74.6	65	96	74.64487	75.9	
Artiodactyla	Ovis	dalli	Ovis dalli	Ovis_dalli_Centroid	Bovidae	Ovis	Bovidae	3	0	0	0	1	0	0	1			66.9	66.9	55.7	66.9	76.5	70.19413	NA	
Artiodactyla	Ovis	nivicola	Ovis nivicola	Ovis_nivicola_Centroid	Bovidae	Ovis	Bovidae	3	0	0	0	1	0	0	1			69	69	90	50.5	83.45	90	NA	
Artiodactyla	Ovis	orientalis	Ovis orientalis	Ovis_orientalis_Centroid	Bovidae	Ovis	Bovidae	3	0	1	0	0	0	0	1	by genus		60	NA	60	NA	NA	NA	NA	
Artiodactyla	Pantholops	hodgsonii	Pantholops hodgsonii	Pantholops_hodgsonii_Centroid	Bovidae	Pantholops	Bovidae	3	0	1	0	0	0	1	1			34.1	34.1	27.5	34.1	40	32.73312	NA	
Artiodactyla	Pelea	capreolus	Pelea capreolus	Pelea_capreolus_Centroid	Bovidae	Pelea	Bovidae	3	0	1	0	0	0	1	1			24.5	24.5	20	24.5	24	22.73133	24	
Artiodactyla	Pelorovis	antiquus	Pelorovis antiquus	Pelorovis_antiquus_Centroid	Bovidae	Pelorovis	Bovidae	3	0	0	1	1	0	0	1	pictures, like Syncerus		1200	1200	1000	NA	NA	NA	NA	
